#"FID1 - B:Signal #1 LEO_027_1eq_02h.D"
#Point,X(Minutes),Y(Response Units)
0,0.0000,70618
1,0.0003,70593
2,0.0007,70600
3,0.0010,70593
4,0.0013,70590
5,0.0017,70609
6,0.0020,70582
7,0.0023,70570
8,0.0027,70501
9,0.0030,70536
10,0.0033,70512
11,0.0037,70675
12,0.0040,70571
13,0.0043,70526
14,0.0047,70311
15,0.0050,70363
16,0.0053,70361
17,0.0057,70471
18,0.0060,70495
19,0.0063,70578
20,0.0067,70542
21,0.0070,70573
22,0.0073,70505
23,0.0077,70532
24,0.0080,70502
25,0.0083,70602
26,0.0087,70619
27,0.0090,70612
28,0.0093,70659
29,0.0097,70720
30,0.0100,71085
31,0.0103,70744
32,0.0107,70693
33,0.0110,70285
34,0.0113,70433
35,0.0117,70380
36,0.0120,70393
37,0.0123,70470
38,0.0127,70553
39,0.0130,70548
40,0.0133,70515
41,0.0137,70362
42,0.0140,70489
43,0.0143,70589
44,0.0147,70629
45,0.0150,70574
46,0.0153,70462
47,0.0157,70444
48,0.0160,70417
49,0.0163,70506
50,0.0167,70572
51,0.0170,70500
52,0.0173,70361
53,0.0177,70403
54,0.0180,70486
55,0.0183,70554
56,0.0187,70518
57,0.0190,70372
58,0.0193,70342
59,0.0197,70295
60,0.0200,70355
61,0.0203,70416
62,0.0207,70511
63,0.0210,70616
64,0.0213,70570
65,0.0217,70442
66,0.0220,70401
67,0.0223,70403
68,0.0227,70465
69,0.0230,70507
70,0.0233,70700
71,0.0237,70592
72,0.0240,70537
73,0.0243,70357
74,0.0247,70455
75,0.0250,70398
76,0.0253,70415
77,0.0257,70533
78,0.0260,70660
79,0.0263,70643
80,0.0267,70567
81,0.0270,70463
82,0.0273,70506
83,0.0277,70426
84,0.0280,70578
85,0.0283,70536
86,0.0287,70550
87,0.0290,70458
88,0.0293,70441
89,0.0297,70492
90,0.0300,70467
91,0.0303,70661
92,0.0307,70534
93,0.0310,70500
94,0.0313,70321
95,0.0317,70437
96,0.0320,70454
97,0.0323,70470
98,0.0327,70511
99,0.0330,70541
100,0.0333,70512
101,0.0337,70481
102,0.0340,70476
103,0.0343,70512
104,0.0347,70377
105,0.0350,70531
106,0.0353,70543
107,0.0357,70653
108,0.0360,70515
109,0.0363,70512
110,0.0367,70554
111,0.0370,70651
112,0.0373,70639
113,0.0377,70603
114,0.0380,70475
115,0.0383,70463
116,0.0387,70498
117,0.0390,70460
118,0.0393,70598
119,0.0397,70530
120,0.0400,70630
121,0.0403,70529
122,0.0407,70527
123,0.0410,70451
124,0.0413,70467
125,0.0417,70596
126,0.0420,70588
127,0.0423,70506
128,0.0427,70387
129,0.0430,70467
130,0.0433,70565
131,0.0437,70733
132,0.0440,70661
133,0.0443,70595
134,0.0447,70407
135,0.0450,70493
136,0.0453,70529
137,0.0457,70586
138,0.0460,70620
139,0.0463,70556
140,0.0467,70491
141,0.0470,70452
142,0.0473,70510
143,0.0477,70556
144,0.0480,70500
145,0.0483,70529
146,0.0487,70540
147,0.0490,70557
148,0.0493,70532
149,0.0497,70571
150,0.0500,70567
151,0.0503,70647
152,0.0507,70572
153,0.0510,70544
154,0.0513,70447
155,0.0517,70491
156,0.0520,70523
157,0.0523,70513
158,0.0527,70668
159,0.0530,70639
160,0.0533,70655
161,0.0537,70496
162,0.0540,70558
163,0.0543,70627
164,0.0547,70624
165,0.0550,70728
166,0.0553,70592
167,0.0557,70561
168,0.0560,70398
169,0.0563,70462
170,0.0567,70487
171,0.0570,70553
172,0.0573,70524
173,0.0577,70664
174,0.0580,70568
175,0.0583,70584
176,0.0587,70439
177,0.0590,70530
178,0.0593,70554
179,0.0597,70500
180,0.0600,70614
181,0.0603,70536
182,0.0607,70608
183,0.0610,70477
184,0.0613,70593
185,0.0617,70615
186,0.0620,70622
187,0.0623,70720
188,0.0627,70688
189,0.0630,70610
190,0.0633,70450
191,0.0637,70447
192,0.0640,70502
193,0.0643,70557
194,0.0647,70728
195,0.0650,70707
196,0.0653,70638
197,0.0657,70528
198,0.0660,70504
199,0.0663,70562
200,0.0667,70491
201,0.0670,70684
202,0.0673,70601
203,0.0677,70647
204,0.0680,70532
205,0.0683,70664
206,0.0687,70645
207,0.0690,70650
208,0.0693,70690
209,0.0697,70574
210,0.0700,70537
211,0.0703,70340
212,0.0707,70429
213,0.0710,70397
214,0.0713,70480
215,0.0717,70614
216,0.0720,70643
217,0.0723,70630
218,0.0727,70521
219,0.0730,70529
220,0.0733,70568
221,0.0737,70562
222,0.0740,70542
223,0.0743,70613
224,0.0747,70558
225,0.0750,70580
226,0.0753,70473
227,0.0757,70594
228,0.0760,70530
229,0.0763,70488
230,0.0767,70512
231,0.0770,70518
232,0.0773,70521
233,0.0777,70436
234,0.0780,70463
235,0.0783,70547
236,0.0787,70508
237,0.0790,70630
238,0.0793,70556
239,0.0797,70569
240,0.0800,70489
241,0.0803,70520
242,0.0807,70559
243,0.0810,70521
244,0.0813,70560
245,0.0817,70658
246,0.0820,70659
247,0.0823,70602
248,0.0827,70502
249,0.0830,70518
250,0.0833,70533
251,0.0837,70543
252,0.0840,70534
253,0.0843,70685
254,0.0847,70573
255,0.0850,70604
256,0.0853,70451
257,0.0857,70581
258,0.0860,70553
259,0.0863,70574
260,0.0867,70721
261,0.0870,70691
262,0.0873,70679
263,0.0877,70470
264,0.0880,70526
265,0.0883,70533
266,0.0887,70622
267,0.0890,70555
268,0.0893,70557
269,0.0897,70638
270,0.0900,70563
271,0.0903,70533
272,0.0907,70365
273,0.0910,70545
274,0.0913,70606
275,0.0917,70668
276,0.0920,70578
277,0.0923,70687
278,0.0927,70528
279,0.0930,70549
280,0.0933,70427
281,0.0937,70569
282,0.0940,70588
283,0.0943,70564
284,0.0947,70551
285,0.0950,70653
286,0.0953,70600
287,0.0957,70539
288,0.0960,70424
289,0.0963,70438
290,0.0967,70457
291,0.0970,70447
292,0.0973,70490
293,0.0977,70546
294,0.0980,70705
295,0.0983,70586
296,0.0987,70473
297,0.0990,70295
298,0.0993,70380
299,0.0997,70504
300,0.1000,70546
301,0.1003,70565
302,0.1007,70672
303,0.1010,70556
304,0.1013,70575
305,0.1017,70447
306,0.1020,70561
307,0.1023,70529
308,0.1027,70541
309,0.1030,70522
310,0.1033,70712
311,0.1037,70584
312,0.1040,70584
313,0.1043,70463
314,0.1047,70561
315,0.1050,70576
316,0.1053,70499
317,0.1057,70502
318,0.1060,70462
319,0.1063,70720
320,0.1067,70635
321,0.1070,70694
322,0.1073,70406
323,0.1077,70448
324,0.1080,70487
325,0.1083,70576
326,0.1087,70638
327,0.1090,70752
328,0.1093,70689
329,0.1097,70649
330,0.1100,70533
331,0.1103,70557
332,0.1107,70625
333,0.1110,70587
334,0.1113,70553
335,0.1117,70671
336,0.1120,70588
337,0.1123,70647
338,0.1127,70472
339,0.1130,70543
340,0.1133,70529
341,0.1137,70536
342,0.1140,70545
343,0.1143,70518
344,0.1147,70717
345,0.1150,70626
346,0.1153,70678
347,0.1157,70414
348,0.1160,70469
349,0.1163,70413
350,0.1167,70459
351,0.1170,70472
352,0.1173,70691
353,0.1177,70686
354,0.1180,70645
355,0.1183,70465
356,0.1187,70442
357,0.1190,70535
358,0.1193,70478
359,0.1197,70498
360,0.1200,70567
361,0.1203,70555
362,0.1207,70577
363,0.1210,70489
364,0.1213,70602
365,0.1217,70569
366,0.1220,70564
367,0.1223,70489
368,0.1227,70529
369,0.1230,70634
370,0.1233,70522
371,0.1237,70462
372,0.1240,70296
373,0.1243,70461
374,0.1247,70552
375,0.1250,70601
376,0.1253,70730
377,0.1257,70704
378,0.1260,70717
379,0.1263,70609
380,0.1267,70628
381,0.1270,70619
382,0.1273,70573
383,0.1277,70489
384,0.1280,70606
385,0.1283,70505
386,0.1287,70596
387,0.1290,70433
388,0.1293,70576
389,0.1297,70505
390,0.1300,70535
391,0.1303,70455
392,0.1307,70602
393,0.1310,70499
394,0.1313,70508
395,0.1317,70405
396,0.1320,70518
397,0.1323,70547
398,0.1327,70484
399,0.1330,70527
400,0.1333,70629
401,0.1337,70577
402,0.1340,70518
403,0.1343,70426
404,0.1347,70574
405,0.1350,70601
406,0.1353,70624
407,0.1357,70743
408,0.1360,70645
409,0.1363,70539
410,0.1367,70354
411,0.1370,70359
412,0.1373,70456
413,0.1377,70480
414,0.1380,70529
415,0.1383,70670
416,0.1387,70608
