#"FID1 - B:Signal #1 LEO_027_1eq_05h.D"
#Point,X(Minutes),Y(Response Units)
0,0.0000,69655
1,0.0003,69648
2,0.0007,69631
3,0.0010,69701
4,0.0013,69732
5,0.0017,69719
6,0.0020,69634
7,0.0023,69621
8,0.0027,69646
9,0.0030,69656
10,0.0033,69744
11,0.0037,69649
12,0.0040,69639
13,0.0043,69536
14,0.0047,69656
15,0.0050,69652
16,0.0053,69609
17,0.0057,69544
18,0.0060,69603
19,0.0063,69636
20,0.0067,69675
21,0.0070,69642
22,0.0073,69663
23,0.0077,69649
24,0.0080,69674
25,0.0083,69650
26,0.0087,69652
27,0.0090,69606
28,0.0093,69689
29,0.0097,69773
30,0.0100,70148
31,0.0103,69813
32,0.0107,69676
33,0.0110,69285
34,0.0113,69501
35,0.0117,69611
36,0.0120,69616
37,0.0123,69681
38,0.0127,69647
39,0.0130,69750
40,0.0133,69752
41,0.0137,69789
42,0.0140,69729
43,0.0143,69679
44,0.0147,69595
45,0.0150,69657
46,0.0153,69637
47,0.0157,69584
48,0.0160,69471
49,0.0163,69516
50,0.0167,69643
51,0.0170,69795
52,0.0173,69667
53,0.0177,69555
54,0.0180,69585
55,0.0183,69626
56,0.0187,69783
57,0.0190,69504
58,0.0193,69502
59,0.0197,69364
60,0.0200,69655
61,0.0203,69770
62,0.0207,69810
63,0.0210,69647
64,0.0213,69569
65,0.0217,69541
66,0.0220,69512
67,0.0223,69554
68,0.0227,69720
69,0.0230,69690
70,0.0233,69730
71,0.0237,69545
72,0.0240,69590
73,0.0243,69550
74,0.0247,69617
75,0.0250,69751
76,0.0253,69658
77,0.0257,69595
78,0.0260,69547
79,0.0263,69699
80,0.0267,69778
81,0.0270,69663
82,0.0273,69687
83,0.0277,69576
84,0.0280,69670
85,0.0283,69638
86,0.0287,69776
87,0.0290,69688
88,0.0293,69623
89,0.0297,69728
90,0.0300,69718
91,0.0303,69724
92,0.0307,69574
93,0.0310,69633
94,0.0313,69625
95,0.0317,69631
96,0.0320,69708
97,0.0323,69690
98,0.0327,69641
99,0.0330,69539
100,0.0333,69586
101,0.0337,69594
102,0.0340,69739
103,0.0343,69680
104,0.0347,69695
105,0.0350,69625
106,0.0353,69706
107,0.0357,69704
108,0.0360,69665
109,0.0363,69767
110,0.0367,69668
111,0.0370,69655
112,0.0373,69528
113,0.0377,69663
114,0.0380,69674
115,0.0383,69660
116,0.0387,69747
117,0.0390,69634
118,0.0393,69658
119,0.0397,69539
120,0.0400,69665
121,0.0403,69640
122,0.0407,69765
123,0.0410,69602
124,0.0413,69613
125,0.0417,69535
126,0.0420,69694
127,0.0423,69719
128,0.0427,69643
129,0.0430,69678
130,0.0433,69623
131,0.0437,69725
132,0.0440,69674
133,0.0443,69699
134,0.0447,69624
135,0.0450,69604
136,0.0453,69765
137,0.0457,69698
138,0.0460,69747
139,0.0463,69586
140,0.0467,69659
141,0.0470,69636
142,0.0473,69782
143,0.0477,69757
144,0.0480,69757
145,0.0483,69604
146,0.0487,69624
147,0.0490,69637
148,0.0493,69614
149,0.0497,69745
150,0.0500,69606
151,0.0503,69603
152,0.0507,69456
153,0.0510,69598
154,0.0513,69612
155,0.0517,69618
156,0.0520,69695
157,0.0523,69648
158,0.0527,69661
159,0.0530,69553
160,0.0533,69623
161,0.0537,69626
162,0.0540,69683
163,0.0543,69598
164,0.0547,69613
165,0.0550,69565
166,0.0553,69678
167,0.0557,69717
168,0.0560,69711
169,0.0563,69666
170,0.0567,69737
171,0.0570,69670
172,0.0573,69669
173,0.0577,69510
174,0.0580,69550
175,0.0583,69571
176,0.0587,69543
177,0.0590,69732
178,0.0593,69643
179,0.0597,69745
180,0.0600,69550
181,0.0603,69630
182,0.0607,69598
183,0.0610,69702
184,0.0613,69838
185,0.0617,69737
186,0.0620,69655
187,0.0623,69495
188,0.0627,69575
189,0.0630,69599
190,0.0633,69675
191,0.0637,69691
192,0.0640,69868
193,0.0643,69774
194,0.0647,69828
195,0.0650,69647
196,0.0653,69716
197,0.0657,69664
198,0.0660,69649
199,0.0663,69579
200,0.0667,69712
201,0.0670,69616
202,0.0673,69675
203,0.0677,69535
204,0.0680,69677
205,0.0683,69671
206,0.0687,69677
207,0.0690,69715
208,0.0693,69645
209,0.0697,69590
210,0.0700,69492
211,0.0703,69531
212,0.0707,69593
213,0.0710,69621
214,0.0713,69690
215,0.0717,69799
216,0.0720,69752
217,0.0723,69767
218,0.0727,69781
219,0.0730,69932
220,0.0733,69978
221,0.0737,69944
222,0.0740,69979
223,0.0743,70065
224,0.0747,70135
225,0.0750,69935
226,0.0753,69753
227,0.0757,69577
228,0.0760,69655
229,0.0763,69625
230,0.0767,69569
231,0.0770,69565
232,0.0773,69737
233,0.0777,69725
234,0.0780,69707
235,0.0783,69563
236,0.0787,69611
237,0.0790,69623
238,0.0793,69663
239,0.0797,69742
240,0.0800,69914
241,0.0803,69802
242,0.0807,69748
243,0.0810,69587
244,0.0813,69651
245,0.0817,69661
246,0.0820,69676
247,0.0823,69696
248,0.0827,69679
249,0.0830,69737
250,0.0833,69642
251,0.0837,69640
252,0.0840,69541
253,0.0843,69620
254,0.0847,69675
255,0.0850,69680
256,0.0853,69671
257,0.0857,69584
258,0.0860,69710
259,0.0863,69629
260,0.0867,69727
261,0.0870,69606
262,0.0873,69704
263,0.0877,69680
264,0.0880,69733
265,0.0883,69772
266,0.0887,69726
267,0.0890,69684
268,0.0893,69818
269,0.0897,69737
270,0.0900,69688
271,0.0903,69542
272,0.0907,69611
273,0.0910,69684
274,0.0913,69656
275,0.0917,69733
276,0.0920,69748
277,0.0923,69950
278,0.0927,69810
279,0.0930,69770
280,0.0933,69575
281,0.0937,69672
282,0.0940,69630
283,0.0943,69661
284,0.0947,69635
285,0.0950,69694
286,0.0953,69874
287,0.0957,69769
288,0.0960,69780
289,0.0963,69507
290,0.0967,69613
291,0.0970,69530
292,0.0973,69604
293,0.0977,69620
294,0.0980,69691
295,0.0983,69859
296,0.0987,69814
297,0.0990,69781
298,0.0993,69594
299,0.0997,69636
300,0.1000,69644
301,0.1003,69644
302,0.1007,69676
303,0.1010,69729
304,0.1013,69865
305,0.1017,69788
306,0.1020,69720
307,0.1023,69637
308,0.1027,69676
309,0.1030,69683
310,0.1033,69621
311,0.1037,69686
312,0.1040,69643
313,0.1043,69805
314,0.1047,69641
315,0.1050,69690
316,0.1053,69518
317,0.1057,69619
318,0.1060,69634
319,0.1063,69653
320,0.1067,69719
321,0.1070,69686
322,0.1073,69866
323,0.1077,69699
324,0.1080,69716
325,0.1083,69505
326,0.1087,69630
327,0.1090,69585
328,0.1093,69586
329,0.1097,69545
330,0.1100,69520
331,0.1103,69646
332,0.1107,69577
333,0.1110,69659
334,0.1113,69581
335,0.1117,69679
336,0.1120,69680
337,0.1123,69706
338,0.1127,69702
339,0.1130,69708
340,0.1133,69854
341,0.1137,69788
342,0.1140,69755
343,0.1143,69528
344,0.1147,69572
345,0.1150,69590
346,0.1153,69632
347,0.1157,69662
348,0.1160,69879
349,0.1163,69809
350,0.1167,69820
351,0.1170,69569
352,0.1173,69648
353,0.1177,69642
354,0.1180,69706
355,0.1183,69651
356,0.1187,69805
357,0.1190,69677
358,0.1193,69661
359,0.1197,69533
360,0.1200,69618
361,0.1203,69694
362,0.1207,69669
363,0.1210,69719
364,0.1213,69692
365,0.1217,69836
366,0.1220,69648
367,0.1223,69626
368,0.1227,69422
369,0.1230,69547
370,0.1233,69644
371,0.1237,69640
372,0.1240,69644
373,0.1243,69684
374,0.1247,69676
375,0.1250,69687
376,0.1253,69632
377,0.1257,69682
378,0.1260,69722
379,0.1263,69589
380,0.1267,69715
381,0.1270,69582
382,0.1273,69620
383,0.1277,69496
384,0.1280,69582
385,0.1283,69627
386,0.1287,69610
387,0.1290,69615
388,0.1293,69724
389,0.1297,69736
390,0.1300,69732
391,0.1303,69623
392,0.1307,69630
393,0.1310,69600
394,0.1313,69607
395,0.1317,69624
396,0.1320,69844
397,0.1323,69768
398,0.1327,69780
399,0.1330,69524
400,0.1333,69591
401,0.1337,69545
402,0.1340,69615
403,0.1343,69775
404,0.1347,69739
405,0.1350,69721
406,0.1353,69555
407,0.1357,69636
408,0.1360,69639
409,0.1363,69675
410,0.1367,69566
411,0.1370,69758
412,0.1373,69672
413,0.1377,69775
414,0.1380,69644
415,0.1383,69702
416,0.1387,69666
417,0.1390,69670
418,0.1393,69728
419,0.1397,69903
420,0.1400,69867
421,0.1403,69769
422,0.1407,69636
423,0.1410,69638
424,0.1413,69734
425,0.1417,69682
426,0.1420,69796
427,0.1423,69603
428,0.1427,69653
429,0.1430,69518
430,0.1433,69663
431,0.1437,69618
432,0.1440,69615
433,0.1443,69586
434,0.1447,69750
435,0.1450,69675
436,0.1453,69652
437,0.1457,69501
438,0.1460,69586
439,0.1463,69703
440,0.1467,69681
441,0.1470,69847
442,0.1473,69672
443,0.1477,69706
444,0.1480,69528
445,0.1483,69640
446,0.1487,69638
447,0.1490,69623
448,0.1493,69777
449,0.1497,69716
450,0.1500,69792
451,0.1503,69601
452,0.1507,69646
453,0.1510,69566
454,0.1513,69591
455,0.1517,69544
456,0.1520,69760
457,0.1523,69670
458,0.1527,69714
459,0.1530,69513
460,0.1533,69602
461,0.1537,69620
462,0.1540,69586
463,0.1543,69707
464,0.1547,69591
465,0.1550,69620
466,0.1553,69468
467,0.1557,69594
468,0.1560,69581
469,0.1563,69580
470,0.1567,69728
471,0.1570,69702
472,0.1573,69698
473,0.1577,69550
474,0.1580,69552
475,0.1583,69594
476,0.1587,69653
477,0.1590,69568
478,0.1593,69506
479,0.1597,69422
480,0.1600,69562
481,0.1603,69614
482,0.1607,69590
483,0.1610,69699
484,0.1613,69690
485,0.1617,69702
486,0.1620,69575
487,0.1623,69573
488,0.1627,69632
489,0.1630,69628
490,0.1633,69751
